순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수
550,110226564,혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,https://www.yes24.com/product/goods/110226564,박정아,한빛미디어,2022년 06월,"19,800","22,000",10%,"3,234"
551,109838545,나는 파이썬으로 머신러닝한다 1,https://www.yes24.com/product/goods/109838545,"최정원, 박지훈",씨마스,2022년 06월,"19,800","22,000",10%,"1,056"
552,109780095,무조건 돈 버는 카카오 이모티콘 만들기,https://www.yes24.com/product/goods/109780095,김나무,중앙북스(books),2022년 06월,"15,750","17,500",10%,"1,632"
553,109590932,자동차 인터페이스 디자인,https://www.yes24.com/product/goods/109590932,박수레,책만,2022년 05월,"15,120","16,800",10%,"1,134"
554,109346804,직장인을 위한 실무 구글 스프레드시트,https://www.yes24.com/product/goods/109346804,진은영,길벗,2022년 05월,"20,700","23,000",10%,540
555,109304306,로블록스 개발 첫 발자국 떼기,https://www.yes24.com/product/goods/109304306,ROBLOX 저/이진오 역,에이콘출판사,2022년 05월,"31,500","35,000",10%,360
556,109209932,Do it! 점프 투 파이썬 라이브러리 예제 편,https://www.yes24.com/product/goods/109209932,박응용,이지스퍼블리싱,2022년 05월,"23,400","26,000",10%,"1,842"
557,109182582,실무자를 위한 그래프 데이터 활용법,https://www.yes24.com/product/goods/109182582,"데니즈 고즈넬, 마티아스 브뢰헬러 저/우정은 역",한빛미디어,2022년 05월,"33,300","37,000",10%,486
558,108947478,Do it! 쉽게 배우는 파이썬 데이터 분석,https://www.yes24.com/product/goods/108947478,김영우,이지스퍼블리싱,2022년 05월,"20,700","23,000",10%,"1,662"
559,108390912,알기 쉬운 조명 교과서,https://www.yes24.com/product/goods/108390912,김대욱,에이콘출판사,2022년 03월,"19,000","20,000",5%,792
560,108249673,솔리드웍스 50시간 완성 (모델링편),https://www.yes24.com/product/goods/108249673,신동진,피앤피북,2022년 03월,"18,000","20,000",10%,"2,265"
561,108192370,헤드 퍼스트 디자인 패턴,https://www.yes24.com/product/goods/108192370,"에릭 프리먼, 엘리자베스 롭슨 저/서환수 역",한빛미디어,2022년 03월,"32,400","36,000",10%,"1,692"
562,107460011,아티스트를 위한 유니티 URP 셰이더 입문,https://www.yes24.com/product/goods/107460011,이상원,비엘북스,2022년 02월,"30,600","34,000",10%,354
563,107445081,스타트 파이썬,https://www.yes24.com/product/goods/107445081,황재호,인포앤북,2022년 02월,"18,900","21,000",10%,216
564,107025224,이득우의 게임 수학,https://www.yes24.com/product/goods/107025224,이득우,책만,2022년 02월,"40,500","45,000",10%,"2,166"
565,106729376,"하나씩 천천히, 디지털 드로잉",https://www.yes24.com/product/goods/106729376,서은숙,혜지원,2022년 02월,"15,300","17,000",10%,462
566,106336380,나도 한다! 아이패드로 시작하는 만화 그리기 with 클립스튜디오,https://www.yes24.com/product/goods/106336380,아오키 도시나오 저/일본콘텐츠전문번역팀 역,므큐,2022년 01월,"16,200","18,000",10%,570
567,106175850,혼자 공부하는 R 데이터 분석,https://www.yes24.com/product/goods/106175850,"강전희, 엄동란",한빛미디어,2022년 01월,"19,800","22,000",10%,"1,593"
568,106009846,컴퓨팅 사고력을 키우는 이산수학,https://www.yes24.com/product/goods/106009846,박주미,한빛아카데미,2021년 12월,"29,000","29,000",,"2,670"
569,105776648,CDT 코딩창의개발능력 3급 엔트리,https://www.yes24.com/product/goods/105776648,해람북스 기획팀,해람북스,2022년 01월,"14,400","16,000",10%,"1,794"
570,105775606,된다! 깨비의 DSLR & 미러리스 사진 수업,https://www.yes24.com/product/goods/105775606,박기덕,이지스퍼블리싱,2022년 01월,"16,200","18,000",10%,"2,166"
571,105402509,당당한 디자인 결정을 위한 9가지 방법,https://www.yes24.com/product/goods/105402509,"톰 그리버 저/김민성, 곽서희 역",한빛미디어,2021년 12월,"19,800","22,000",10%,294
572,105040586,픽셀아트 배경 그리는 법,https://www.yes24.com/product/goods/105040586,"APO+, MOTOCROSS SAITO, SETAMO 저/이석호 역",AK(에이케이 커뮤니케이션즈),2021년 11월,"25,200","28,000",10%,684
573,105016912,따라하며 배우는! 퓨전 Fusion 360 입문,https://www.yes24.com/product/goods/105016912,"김혜숙, 주형권, 김보영",한국ATC센터,2021년 11월,"24,300","27,000",10%,"1,260"
574,104739807,인벤터 50시간 완성 (조립·도면편),https://www.yes24.com/product/goods/104739807,신동진,피앤피북,2022년 01월,"18,000","20,000",10%,"1,380"
575,103401495,Do it! 인터랙티브 웹 페이지 만들기,https://www.yes24.com/product/goods/103401495,최성일,이지스퍼블리싱,2021년 08월,"25,200","28,000",10%,510
576,99481725,모두의 마이크로비트,https://www.yes24.com/product/goods/99481725,"아이씨뱅큐, 에스엔소프트",길벗,2021년 04월,"19,800","22,000",10%,"1,308"
577,96404321,아두이노 자율주행 RC카 만들고 직접 코딩하기 [완전 개정판],https://www.yes24.com/product/goods/96404321,"서민우, 박준원",앤써북,2020년 12월,"18,000","20,000",10%,486
